Regions;Votes Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cidadaos;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Ranking;Residents Total;Residents 0-14;%Residents 0-14;Residents 15-64;%Residents 15-64;Residents 65+;%Residents 65+;Population without Education;%Population without Education;Population with High School;%Population with High School;Companies Created;Average Monthly Income;Employees per Sector Total;Employees per Sector Agriculture;%Employees per Sector Agriculture;Employees per Sector Extraction Industries;%Employees per Sector Extraction Industries;Employees per Sector Transformation Industries;%Employees per Sector Transformation Industries;Employees per Sector Construction;%Employees per Sector Construction;Employees per Sector Gross and Retails Markets;%Employees per Sector Gross and Retails Markets;Employees per Sector Administration and Services;%Employees per Sector Administration and Services;Employees per Economic Sector Banks;%Employees per Economic Sector Banks;Employees per Economic Sector Others;%Employees per Economic Sector Others;Companies Dissolved;Unemployment Total;%Unemployment Total;Unemployment <25;%Unemployment <25
Arcos de Valdevez;14683;0;973;0;0;0;0;0;0;289;0;0;0;10403;0;0;0;0;0;0;0;0;0;0;0;0;0;3018;0;0;0;x;23297;2717;-1;13572;-1;7008;-1;5060;-1;2038;-1;39;623.2;4264;70;-1;0;-1;937;-1;930;-1;1005;-1;175;-1;59;-1;0;-1;14;900.5;-1;147.9;-1
Caminha;10980;256;0;0;0;0;0;0;0;289;0;0;0;6093;0;0;0;0;0;0;0;0;0;0;0;0;0;4342;0;0;0;x;16839;2180;-1;11037;-1;3623;-1;1641;-1;2284;-1;35;734.3;4510;220;-1;0;-1;0;-1;807;-1;1046;-1;346;-1;53;-1;0;-1;17;729.9;-1;85.9;-1
Melgaco;5689;0;0;0;0;0;0;0;0;124;0;0;0;1390;0;0;0;0;0;0;0;0;0;0;0;0;0;4175;0;0;0;x;9393;870;-1;5221;-1;3303;-1;1892;-1;887;-1;7;618.7;1267;30;-1;0;-1;202;-1;273;-1;323;-1;49;-1;29;-1;0;-1;4;165.7;-1;39.4;-1
Moncao;11851;0;0;0;0;0;0;0;0;257;0;0;0;2558;0;0;0;0;0;0;0;0;0;0;0;0;0;8373;0;0;0;x;19448;2160;-1;11963;-1;5326;-1;3163;-1;2292;-1;32;611.2;4249;70;-1;130;-1;894;-1;923;-1;969;-1;117;-1;47;-1;0;-1;23;501.7;-1;71.8;-1
Paredes de Coura;6299;0;0;0;0;0;0;0;0;317;0;0;0;2362;0;0;0;0;0;0;0;0;0;0;0;0;0;3620;0;0;0;x;9280;1146;-1;5721;-1;2414;-1;1690;-1;923;-1;8;593.4;1449;81;-1;0;-1;258;-1;267;-1;324;-1;69;-1;20;-1;0;-1;10;398.6;-1;52.6;-1
Ponte da Barca;9220;0;0;0;0;0;0;0;0;118;0;0;0;4333;0;0;0;0;0;0;0;0;0;0;0;0;0;4769;0;0;0;x;12264;1675;-1;7739;-1;2850;-1;1989;-1;1282;-1;18;642;2302;43;-1;12;-1;226;-1;699;-1;474;-1;169;-1;50;-1;0;-1;6;581.7;-1;88.2;-1
Ponte de Lima;27902;0;18467;0;0;0;0;0;0;828;0;0;0;5650;0;0;0;0;0;0;0;0;0;0;0;0;0;2957;0;0;0;x;43888;7043;-1;28595;-1;8251;-1;5406;-1;4399;-1;78;624;10647;349;-1;190;-1;2334;-1;3119;-1;2143;-1;395;-1;83;-1;11;-1;23;1969.3;-1;223.6;-1
Valenca;8593;0;807;0;0;0;0;0;0;287;0;0;0;3877;0;0;0;0;0;0;0;0;0;0;0;0;0;3622;0;0;0;x;14176;1913;-1;9202;-1;3061;-1;1454;-1;1698;-1;51;661.3;5458;104;-1;44;-1;1082;-1;479;-1;1585;-1;824;-1;68;-1;0;-1;28;657.8;-1;90.3;-1
Viana do Castelo;49660;2439;0;0;0;0;0;0;0;3396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25786;0;0;0;x;89263;13005;-1;59982;-1;16276;-1;7975;-1;11702;-1;182;748.9;28016;648;-1;68;-1;7716;-1;5913;-1;5175;-1;1084;-1;271;-1;33;-1;159;4746.7;-1;560.5;-1
Vila Nova de Cerveira;6090;0;0;0;0;0;0;0;0;120;0;0;0;1713;0;0;0;0;0;0;0;0;0;0;0;0;0;4257;0;0;0;x;9244;1291;-1;5962;-1;1992;-1;1161;-1;1130;-1;17;739.4;3785;51;-1;0;-1;1790;-1;375;-1;402;-1;167;-1;25;-1;0;-1;14;321.5;-1;45.8;-1
