Regions;Votes Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cidadaos;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Ranking;Residents Total;Residents 0-14;%Residents 0-14;Residents 15-64;%Residents 15-64;Residents 65+;%Residents 65+;Population without Education;%Population without Education;Population with High School;%Population with High School;Companies Created;Average Monthly Income;Employees per Sector Total;Employees per Sector Agriculture;%Employees per Sector Agriculture;Employees per Sector Extraction Industries;%Employees per Sector Extraction Industries;Employees per Sector Transformation Industries;%Employees per Sector Transformation Industries;Employees per Sector Construction;%Employees per Sector Construction;Employees per Sector Gross and Retails Markets;%Employees per Sector Gross and Retails Markets;Employees per Sector Administration and Services;%Employees per Sector Administration and Services;Employees per Economic Sector Banks;%Employees per Economic Sector Banks;Employees per Economic Sector Others;%Employees per Economic Sector Others;Companies Dissolved;Unemployment Total;%Unemployment Total;Unemployment <25;%Unemployment <25
Amares;11949;150;517;0;0;0;0;0;0;178;0;0;0;1790;0;0;0;0;0;0;0;0;0;0;0;0;0;3553;0;0;0;x;18942;3255;-1;12799;-1;2889;-1;1847;-1;2316;-1;48;670.2;4647;152;-1;32;-1;701;-1;1451;-1;827;-1;194;-1;0;-1;21;-1;26;1118.6;-1;133.8;-1
Barcelos;76584;1439;3656;0;0;0;0;0;0;1140;0;0;0;33997;0;0;0;0;0;0;0;0;0;0;0;0;0;34911;0;0;0;x;121325;20941;-1;84936;-1;15448;-1;9333;-1;12261;-1;250;642.1;44807;1129;-1;36;-1;21294;-1;7353;-1;7700;-1;1317;-1;236;-1;24;-1;220;5556.8;-1;712.9;-1
Braga;95799;3935;0;0;0;0;0;0;0;6212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43806;0;0;0;x;179717;30708;-1;127360;-1;21650;-1;10441;-1;26282;-1;569;769.8;67876;257;-1;161;-1;14693;-1;11792;-1;14263;-1;4113;-1;684;-1;29;-1;316;10958.9;-1;1100.3;-1
Esposende;20069;344;2649;0;0;0;0;0;0;681;0;0;0;12210;0;0;0;0;0;0;0;0;0;0;0;0;0;4131;0;0;0;x;34327;6006;-1;23711;-1;4611;-1;2736;-1;3881;-1;81;644;12502;429;-1;74;-1;3635;-1;3501;-1;1786;-1;441;-1;82;-1;0;-1;104;1438.9;-1;171.2;-1
Terras de Bouro;5611;0;207;0;0;0;0;0;0;98;0;0;0;2393;0;0;0;0;0;0;0;0;0;0;0;0;0;2913;0;0;0;x;7494;1058;-1;4649;-1;1788;-1;1019;-1;769;-1;7;666.4;1141;35;-1;0;-1;0;-1;207;-1;202;-1;18;-1;0;-1;0;-1;13;423;-1;51.5;-1
Vila Verde;29363;0;5006;0;0;0;0;0;0;551;0;0;0;13937;0;0;0;0;0;0;0;0;0;0;0;0;0;9869;0;0;0;x;48017;8417;-1;31791;-1;7810;-1;5661;-1;5100;-1;113;622;11861;227;-1;121;-1;3102;-1;3601;-1;2190;-1;389;-1;102;-1;22;-1;45;2267.8;-1;335.7;-1
Cabeceiras de Basto;10955;0;0;0;0;0;0;0;0;361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7738;0;0;0;x;17006;2943;-1;10921;-1;3143;-1;2282;-1;1620;-1;43;617.9;3338;109;-1;0;-1;658;-1;869;-1;711;-1;107;-1;39;-1;0;-1;18;1332.1;-1;210.1;-1
Fafe;32286;0;0;0;0;0;0;0;0;1035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16946;0;0;0;x;51236;8200;-1;35361;-1;7676;-1;4981;-1;4792;-1;120;591;14883;76;-1;0;-1;6299;-1;2224;-1;2735;-1;603;-1;96;-1;0;-1;111;3772.7;-1;519.7;-1
Guimaraes;91634;2388;4382;0;0;0;0;0;0;8199;0;0;0;25685;0;0;0;0;0;0;0;0;0;0;0;0;0;50102;0;0;0;x;159266;26049;-1;113257;-1;19961;-1;12043;-1;17593;-1;442;668;62922;318;-1;253;-1;33693;-1;4402;-1;11136;-1;1848;-1;401;-1;9;-1;249;12222.7;-1;1171.9;-1
Mondim de Basto;5114;0;1573;0;0;0;0;0;0;42;0;0;0;1433;0;0;0;0;0;0;0;0;0;0;0;0;0;2034;0;0;0;x;7712;1249;-1;4936;-1;1528;-1;1246;-1;648;-1;11;559.4;1366;41;-1;130;-1;0;-1;208;-1;342;-1;46;-1;15;-1;0;-1;21;438.1;-1;68.1;-1
Povoa de Lanhoso;15772;0;185;0;0;0;0;0;0;132;0;0;0;8539;0;0;0;0;0;0;0;0;0;0;0;0;0;6916;0;0;0;x;22117;3774;-1;14831;-1;3513;-1;2692;-1;2092;-1;52;610.6;5802;112;-1;0;-1;1962;-1;1357;-1;895;-1;332;-1;51;-1;0;-1;24;1090.6;-1;137.9;-1
Vieira do Minho;10305;137;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5047;0;0;0;x;13341;1974;-1;8580;-1;2788;-1;1804;-1;1334;-1;19;596.3;2333;76;-1;0;-1;227;-1;646;-1;540;-1;213;-1;20;-1;0;-1;7;865.4;-1;84.4;-1
Vila Nova de Famalicao;77657;4522;0;0;0;0;0;0;0;4674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23940;0;0;0;x;133651;22389;-1;94302;-1;16960;-1;9573;-1;15972;-1;319;730.6;53188;530;-1;31;-1;25484;-1;6055;-1;9404;-1;2052;-1;320;-1;25;-1;389;8558;-1;805.6;-1
Vizela;13607;468;0;0;0;0;0;0;0;462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6818;0;0;0;x;23705;4147;-1;17048;-1;2510;-1;1947;-1;2355;-1;53;572.2;8477;42;-1;0;-1;5347;-1;508;-1;1131;-1;231;-1;58;-1;0;-1;96;1731;-1;163.6;-1
Arouca;14911;0;1482;0;0;0;0;0;0;256;0;0;0;3022;0;0;0;0;0;0;0;0;0;0;0;0;0;8985;0;0;0;x;22735;3590;-1;15198;-1;3947;-1;2537;-1;1943;-1;44;613.9;6214;361;-1;39;-1;0;-1;1409;-1;1032;-1;299;-1;37;-1;0;-1;27;659.3;-1;108.2;-1
Espinho;20001;710;1903;0;0;0;0;0;0;1356;0;0;0;8099;0;0;0;0;0;0;0;0;0;0;0;0;0;7933;0;0;0;x;32298;4436;-1;21926;-1;5936;-1;2719;-1;3867;-1;62;702.9;9460;35;-1;0;-1;1824;-1;513;-1;2122;-1;589;-1;128;-1;0;-1;127;3308.5;-1;379.4;-1
Gondomar;82534;2530;0;0;0;0;0;0;0;5038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25163;0;0;0;x;168363;26596;-1;118833;-1;22934;-1;11149;-1;23336;-1;288;700.7;34581;183;-1;0;-1;8392;-1;3761;-1;8356;-1;3205;-1;273;-1;0;-1;301;12252;-1;1517.5;-1
Maia;61262;2941;2502;0;0;0;0;0;0;2792;0;0;0;36647;0;0;0;0;0;0;0;0;0;0;0;0;0;16380;0;0;0;x;133558;22846;-1;94190;-1;16522;-1;6634;-1;20416;-1;436;904.9;63774;236;-1;26;-1;14664;-1;6275;-1;14303;-1;10091;-1;427;-1;0;-1;429;8335.4;-1;844.3;-1
Matosinhos;85872;2363;0;0;0;0;0;0;0;3856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37329;0;0;0;x;174939;25914;-1;123143;-1;25883;-1;11185;-1;24602;-1;547;917.3;89336;629;-1;0;-1;10442;-1;5629;-1;37041;-1;11645;-1;523;-1;7;-1;404;9145.1;-1;809.7;-1
Oliveira de Azemeis;38076;938;2928;0;0;0;0;0;0;703;0;0;0;17590;0;0;0;0;0;0;0;0;0;0;0;0;0;15917;0;0;0;x;69339;10067;-1;48165;-1;11107;-1;5420;-1;7358;-1;123;763.5;28215;494;-1;47;-1;16270;-1;1765;-1;3662;-1;1606;-1;177;-1;25;-1;120;2543.7;-1;301.3;-1
Paredes;50863;777;4419;0;0;0;0;0;0;1732;0;0;0;30112;0;0;0;0;0;0;0;0;0;0;0;0;0;13823;0;0;0;x;86782;16275;-1;61296;-1;9212;-1;6763;-1;8205;-1;169;639.6;24696;116;-1;0;-1;11100;-1;3080;-1;4993;-1;870;-1;217;-1;17;-1;112;5954.8;-1;754.3;-1
Porto;128560;6552;0;0;0;0;0;0;0;12904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45682;0;0;0;x;242652;30079;-1;158136;-1;54437;-1;13814;-1;32936;-1;1102;1000.5;137479;709;-1;16;-1;11116;-1;18301;-1;29710;-1;14066;-1;6059;-1;13;-1;1032;15199;-1;1550.7;-1
Povoa de Varzim;31587;817;3239;0;0;0;0;0;0;1358;0;0;0;15052;0;0;0;0;0;0;0;0;0;0;0;0;0;11121;0;0;0;x;63719;11092;-1;44223;-1;8405;-1;4357;-1;7441;-1;190;702.4;21818;1311;-1;0;-1;4261;-1;3425;-1;4694;-1;1280;-1;173;-1;58;-1;69;3941.2;-1;494.4;-1
Santa Maria da Feira;76937;2049;2767;0;0;0;0;0;0;1995;0;0;0;38008;0;0;0;0;0;0;0;0;0;0;0;0;0;32118;0;0;0;x;139556;22609;-1;97860;-1;19088;-1;10799;-1;15581;-1;343;776.9;49554;0;-1;0;-1;22297;-1;5600;-1;9432;-1;3042;-1;407;-1;12;-1;384;8776.5;-1;850.1;-1
Santo Tirso;43925;0;2019;0;0;0;0;0;0;1779;0;0;0;18700;0;0;0;0;0;0;0;0;0;0;0;0;0;21427;0;0;0;x;72157;10388;-1;50368;-1;11402;-1;5920;-1;7599;-1;160;666.1;23214;149;-1;114;-1;12079;-1;1772;-1;4333;-1;643;-1;156;-1;0;-1;284;6661.8;-1;730.3;-1
Sao Joao da Madeira;11415;310;833;0;0;0;0;0;0;672;0;0;0;6523;0;0;0;0;0;0;0;0;0;0;0;0;0;3077;0;0;0;x;21744;3321;-1;15250;-1;3173;-1;1285;-1;3037;-1;73;743.8;13886;0;-1;0;-1;7949;-1;290;-1;2252;-1;505;-1;135;-1;0;-1;145;1069.7;-1;111.3;-1
Trofa;23241;0;1364;0;0;0;0;0;0;560;0;0;0;10326;0;0;0;0;0;0;0;0;0;0;0;0;0;10991;0;0;0;x;38961;6312;-1;27971;-1;4679;-1;2644;-1;4714;-1;80;792.7;16294;205;-1;0;-1;7017;-1;1702;-1;3229;-1;999;-1;112;-1;0;-1;123;3556;-1;397.8;-1
Vale de Cambra;14539;0;5652;0;0;0;0;0;0;329;0;0;0;6941;0;0;0;0;0;0;0;0;0;0;0;0;0;1617;0;0;0;x;23269;3084;-1;15694;-1;4492;-1;2458;-1;2505;-1;33;818;8453;60;-1;0;-1;4759;-1;595;-1;1355;-1;254;-1;62;-1;0;-1;33;672.6;-1;95.1;-1
Valongo;45353;1279;0;0;0;0;0;0;0;2173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12751;0;0;0;x;93053;15741;-1;65977;-1;11335;-1;5562;-1;12981;-1;198;715.4;24842;155;-1;84;-1;5545;-1;4694;-1;5971;-1;2393;-1;202;-1;0;-1;165;7708.3;-1;1043;-1
Vila do Conde;41179;1741;0;0;0;0;0;0;0;1320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26157;0;0;0;x;79051;13147;-1;55099;-1;10805;-1;5488;-1;9091;-1;203;772.8;27634;2196;-1;27;-1;8836;-1;3786;-1;5923;-1;1015;-1;154;-1;14;-1;170;4942.7;-1;559.1;-1
Vila Nova de Gaia;145495;4828;0;0;0;0;0;0;0;9398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37790;0;0;0;x;301661;47803;-1;211122;-1;42737;-1;18851;-1;41476;-1;705;843.3;86596;759;-1;30;-1;22506;-1;8896;-1;19081;-1;6931;-1;638;-1;27;-1;1200;28491.3;-1;2899.5;-1
Boticas;4284;0;169;0;0;0;0;0;0;433;0;0;0;3274;0;0;0;0;0;0;0;0;0;0;0;0;0;408;0;0;0;x;5871;595;-1;3514;-1;1762;-1;1269;-1;475;-1;7;610.6;940;83;-1;0;-1;217;-1;113;-1;172;-1;34;-1;0;-1;0;-1;5;286.3;-1;56.3;-1
Chaves;26120;0;730;0;0;0;0;0;0;1300;0;0;0;15698;0;0;0;0;0;0;0;0;0;0;0;0;0;8392;0;0;0;x;41949;5244;-1;26974;-1;9732;-1;4900;-1;5326;-1;74;670.3;9098;201;-1;108;-1;1085;-1;1299;-1;2438;-1;398;-1;101;-1;9;-1;105;2565.8;-1;357.3;-1
Montalegre;9130;132;0;0;0;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5676;0;0;0;x;10941;1159;-1;6333;-1;3449;-1;2193;-1;951;-1;19;641.6;1705;184;-1;0;-1;0;-1;321;-1;365;-1;161;-1;35;-1;0;-1;6;376.8;-1;55.9;-1
Ribeira de Pena;5356;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1871;0;0;0;x;6742;928;-1;4121;-1;1693;-1;1468;-1;499;-1;11;646;988;50;-1;0;-1;102;-1;339;-1;139;-1;32;-1;18;-1;0;-1;6;412.1;-1;58.2;-1
Valpacos;11458;0;756;0;0;0;0;0;0;159;0;0;0;7745;0;0;0;0;0;0;0;0;0;0;0;0;0;2798;0;0;0;x;17436;1878;-1;10272;-1;5287;-1;3478;-1;1332;-1;21;623.3;2530;122;-1;4;-1;251;-1;625;-1;689;-1;105;-1;39;-1;11;-1;12;995.3;-1;158.3;-1
Vila Pouca de Aguiar;10283;0;714;0;0;0;0;0;0;157;0;0;0;5631;0;0;0;0;0;0;0;0;0;0;0;0;0;3781;0;0;0;x;13540;1664;-1;8439;-1;3438;-1;2074;-1;1195;-1;23;617.3;2573;106;-1;232;-1;446;-1;495;-1;517;-1;96;-1;34;-1;0;-1;12;716.4;-1;103.1;-1
Amarante;34318;758;768;0;0;0;0;0;0;729;0;0;0;15652;0;0;0;0;0;0;0;0;0;0;0;0;0;16411;0;0;0;x;57133;9515;-1;39086;-1;8533;-1;6125;-1;5745;-1;109;681.5;16733;247;-1;31;-1;3744;-1;6125;-1;2772;-1;498;-1;98;-1;0;-1;108;4274.9;-1;537.3;-1
Baiao;13674;0;0;0;0;0;0;0;0;197;0;0;0;4102;0;0;0;0;0;0;0;0;0;0;0;0;0;9375;0;0;0;x;20970;3307;-1;13820;-1;3844;-1;3429;-1;1634;-1;35;606.5;3749;0;-1;0;-1;411;-1;1900;-1;584;-1;121;-1;20;-1;0;-1;22;1823.5;-1;290.9;-1
Castelo de Paiva;11563;146;320;0;0;0;0;0;0;97;0;0;0;5496;0;0;0;0;0;0;0;0;0;0;0;0;0;5504;0;0;0;x;16956;2919;-1;11570;-1;2467;-1;1466;-1;1454;-1;32;648.3;3747;0;-1;0;-1;1442;-1;918;-1;544;-1;121;-1;20;-1;0;-1;27;1426.1;-1;159.6;-1
Celorico de Basto;13800;0;458;0;0;0;0;0;0;160;0;0;0;7170;0;0;0;0;0;0;0;0;0;0;0;0;0;6012;0;0;0;x;20258;3282;-1;13198;-1;3778;-1;2727;-1;1947;-1;36;576;3173;70;-1;3;-1;659;-1;841;-1;639;-1;116;-1;23;-1;0;-1;28;1397.9;-1;219.3;-1
Cinfaes;12570;0;801;0;0;0;0;0;0;454;0;0;0;3438;0;0;0;0;0;0;0;0;0;0;0;0;0;7877;0;0;0;x;20861;3192;-1;13474;-1;4196;-1;3155;-1;1524;-1;29;605.6;3620;70;-1;3;-1;0;-1;1958;-1;621;-1;64;-1;19;-1;0;-1;14;1620.8;-1;168.8;-1
Felgueiras;36021;486;0;0;0;0;0;0;0;470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6992;0;0;0;x;58395;10692;-1;41107;-1;6596;-1;5231;-1;5717;-1;148;594;25262;199;-1;0;-1;15776;-1;2622;-1;3516;-1;496;-1;134;-1;24;-1;165;2847.8;-1;428.8;-1
Lousada;27963;0;0;0;0;0;0;0;0;826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16425;0;0;0;x;47257;9188;-1;33343;-1;4727;-1;4033;-1;3904;-1;124;584.5;16483;0;-1;0;-1;7907;-1;3340;-1;2685;-1;338;-1;53;-1;0;-1;21;2705.5;-1;337.3;-1
Marco de Canaveses;32389;0;0;0;0;0;0;0;0;585;0;0;0;14250;0;0;0;0;0;0;0;0;0;0;0;0;0;4279;0;0;0;x;53624;10083;-1;37042;-1;6500;-1;5107;-1;4755;-1;78;631.2;17294;144;-1;624;-1;3722;-1;7407;-1;2644;-1;325;-1;104;-1;0;-1;38;3833.3;-1;513.9;-1
Pacos de Ferreira;31192;0;776;0;0;0;0;0;0;595;0;0;0;16627;0;0;0;0;0;0;0;0;0;0;0;0;0;13194;0;0;0;x;56109;10620;-1;39836;-1;5653;-1;4417;-1;4516;-1;137;569.9;21663;69;-1;78;-1;12589;-1;1090;-1;4134;-1;497;-1;122;-1;0;-1;42;3635.4;-1;406.3;-1
Penafiel;46290;627;0;0;0;0;0;0;0;1414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14001;0;0;0;x;72602;13386;-1;50598;-1;8619;-1;6801;-1;7240;-1;147;689.9;23053;0;-1;575;-1;7019;-1;6726;-1;3795;-1;647;-1;112;-1;36;-1;51;4112.4;-1;638.6;-1
Resende;8105;0;0;0;0;0;0;0;0;177;0;0;0;2198;0;0;0;0;0;0;0;0;0;0;0;0;0;5730;0;0;0;x;11598;1841;-1;7260;-1;2498;-1;2047;-1;961;-1;14;622;2051;482;-1;0;-1;0;-1;444;-1;448;-1;93;-1;19;-1;0;-1;5;810.6;-1;130.3;-1
Alijo;8754;0;0;0;0;0;0;0;0;201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5112;0;0;0;x;12369;1437;-1;7495;-1;3437;-1;1868;-1;1082;-1;11;732.7;2170;364;-1;0;-1;390;-1;259;-1;444;-1;114;-1;21;-1;0;-1;6;647.7;-1;80.8;-1
Armamar;4466;0;352;0;0;0;0;0;0;526;0;0;0;2823;0;0;0;0;0;0;0;0;0;0;0;0;0;765;0;0;0;x;6536;865;-1;4074;-1;1597;-1;875;-1;611;-1;12;618.3;1261;236;-1;0;-1;176;-1;277;-1;271;-1;34;-1;0;-1;0;-1;5;327.1;-1;59.3;-1
Carrazeda de Ansiaes;4797;114;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1169;0;0;0;x;6619;717;-1;3784;-1;2119;-1;1195;-1;533;-1;4;614.4;960;173;-1;0;-1;84;-1;135;-1;253;-1;53;-1;0;-1;0;-1;7;293.8;-1;36.7;-1
Freixo de Espada _ Cinta;3055;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1747;0;0;0;x;3865;443;-1;2139;-1;1284;-1;759;-1;279;-1;6;594.6;652;103;-1;0;-1;76;-1;188;-1;103;-1;13;-1;0;-1;0;-1;3;241.1;-1;46.4;-1
Lamego;17088;0;0;0;0;0;0;0;0;357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3721;0;0;0;x;27089;3970;-1;17922;-1;5198;-1;3373;-1;3060;-1;36;662.8;5797;356;-1;0;-1;578;-1;1225;-1;1375;-1;530;-1;63;-1;17;-1;27;2101.2;-1;277.5;-1
Mes o Frio;3573;0;0;0;0;0;0;0;0;13;0;0;0;1776;0;0;0;0;0;0;0;0;0;0;0;0;0;1784;0;0;0;x;4550;640;-1;3004;-1;906;-1;687;-1;444;-1;5;722.1;610;143;-1;0;-1;62;-1;87;-1;140;-1;20;-1;0;-1;0;-1;7;434.7;-1;70.7;-1
Moimenta da Beira;7144;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3879;0;0;0;x;10384;1568;-1;6518;-1;2299;-1;1412;-1;1084;-1;14;617.6;2097;317;-1;0;-1;254;-1;270;-1;664;-1;45;-1;20;-1;0;-1;9;535.9;-1;76.5;-1
Murca;4677;0;126;0;0;0;0;0;0;52;0;0;0;1978;0;0;0;0;0;0;0;0;0;0;0;0;0;2521;0;0;0;x;6091;750;-1;3732;-1;1609;-1;1058;-1;520;-1;6;616.8;1032;112;-1;0;-1;147;-1;110;-1;221;-1;32;-1;0;-1;0;-1;17;280.8;-1;29.8;-1
Penedono;2164;126;248;0;0;0;0;0;0;20;0;0;0;1044;0;0;0;0;0;0;0;0;0;0;0;0;0;726;0;0;0;x;3052;406;-1;1824;-1;822;-1;489;-1;283;-1;7;599.5;406;40;-1;11;-1;35;-1;107;-1;109;-1;5;-1;0;-1;0;-1;1;95.2;-1;14;-1
Peso da Regua;10521;0;341;0;0;0;0;0;0;287;0;0;0;7189;0;0;0;0;0;0;0;0;0;0;0;0;0;2704;0;0;0;x;17485;2497;-1;11753;-1;3235;-1;2184;-1;1961;-1;38;714.6;3982;640;-1;0;-1;453;-1;530;-1;1003;-1;174;-1;49;-1;0;-1;34;1110.1;-1;166.2;-1
Sabrosa;4681;133;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3245;0;0;0;x;6498;851;-1;4024;-1;1623;-1;1048;-1;567;-1;5;768.1;1180;292;-1;0;-1;195;-1;165;-1;180;-1;52;-1;0;-1;0;-1;7;331.4;-1;43.3;-1
Santa Marta de Penagui o;5302;0;135;0;0;0;0;0;0;71;0;0;0;1555;0;0;0;0;0;0;0;0;0;0;0;0;0;3541;0;0;0;x;7567;964;-1;4796;-1;1807;-1;1406;-1;633;-1;9;600.1;1301;423;-1;0;-1;166;-1;207;-1;223;-1;32;-1;12;-1;7;-1;4;466.3;-1;55.5;-1
Sao Joao da Pesqueira;4673;0;0;0;0;0;0;0;0;87;0;0;0;3081;0;0;0;0;0;0;0;0;0;0;0;0;0;1505;0;0;0;x;8040;1143;-1;5099;-1;1798;-1;1236;-1;671;-1;7;715;1596;568;-1;28;-1;200;-1;166;-1;256;-1;104;-1;11;-1;17;-1;3;297.1;-1;46.8;-1
