Regions;Votes Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cidadaos;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Ranking;Residents Total;Residents 0-14;%Residents 0-14;Residents 15-64;%Residents 15-64;Residents 65+;%Residents 65+;Population without Education;%Population without Education;Population with High School;%Population with High School;Companies Created;Average Monthly Income;Employees per Sector Total;Employees per Sector Agriculture;%Employees per Sector Agriculture;Employees per Sector Extraction Industries;%Employees per Sector Extraction Industries;Employees per Sector Transformation Industries;%Employees per Sector Transformation Industries;Employees per Sector Construction;%Employees per Sector Construction;Employees per Sector Gross and Retails Markets;%Employees per Sector Gross and Retails Markets;Employees per Sector Administration and Services;%Employees per Sector Administration and Services;Employees per Economic Sector Banks;%Employees per Economic Sector Banks;Employees per Economic Sector Others;%Employees per Economic Sector Others;Companies Dissolved;Unemployment Total;%Unemployment Total;Unemployment <25;%Unemployment <25
Porto;111634;6146;0;0;0;0;51159;0;2215;6781;0;0;173;0;0;0;0;0;0;0;0;11952;0;0;0;0;0;32856;0;0;166;x;214349;26566;-1;128687;-1;59097;-1;13814;-1;32936;-1;1757;1089.2;119901;1222;-1;16;-1;8627;-1;5609;-1;24889;-1;15442;-1;4560;-1;10;-1;1604;19406.5;-1;1860.3;-1
Povoa de Varzim;28535;1176;2267;0;0;0;0;0;1180;941;0;0;0;17280;0;0;0;0;0;0;0;0;0;0;0;0;0;5691;0;0;0;x;62433;9329;-1;42491;-1;10613;-1;4357;-1;7441;-1;209;734.6;19908;0;-1;0;-1;4082;-1;1727;-1;4521;-1;986;-1;137;-1;46;-1;186;3411.6;-1;466.2;-1
Santa Maria da Feira;68217;2992;3120;0;0;0;0;0;0;1954;0;0;362;36383;0;0;0;0;0;0;0;0;0;0;0;0;0;23406;0;0;0;x;139173;19129;-1;96054;-1;23990;-1;10799;-1;15581;-1;428;812.1;45922;372;-1;0;-1;20912;-1;3653;-1;8722;-1;2956;-1;258;-1;14;-1;378;6895.9;-1;864.2;-1
Santo Tirso;40142;0;0;0;0;0;1174;0;0;1646;0;0;0;0;14868;0;0;0;0;0;0;0;0;0;0;0;0;22454;0;0;0;x;69270;8115;-1;47089;-1;14067;-1;5920;-1;7599;-1;156;723.1;21973;0;-1;0;-1;11280;-1;1117;-1;4019;-1;1180;-1;166;-1;0;-1;170;4472.8;-1;551.1;-1
Sao Joao da Madeira;10645;268;0;0;0;0;0;0;204;446;0;0;0;0;3579;0;0;0;0;0;0;0;0;0;0;0;0;6148;0;0;0;x;21455;2814;-1;14737;-1;3904;-1;1285;-1;3037;-1;80;802.1;13325;31;-1;0;-1;7822;-1;168;-1;2159;-1;643;-1;144;-1;0;-1;77;948.4;-1;101.3;-1
Trofa;20894;0;0;0;0;0;0;0;0;932;0;0;0;0;13013;0;0;0;0;0;0;0;0;0;0;0;0;6949;0;0;0;x;38237;5177;-1;26833;-1;6227;-1;2644;-1;4714;-1;109;814.4;16894;0;-1;0;-1;7222;-1;1263;-1;3369;-1;1077;-1;73;-1;0;-1;136;2405.9;-1;348.5;-1
Vale de Cambra;13493;0;9207;0;0;0;0;0;0;228;0;0;0;2462;0;0;0;0;0;0;0;0;0;0;0;0;0;1596;0;0;0;x;21794;2494;-1;14177;-1;5123;-1;2458;-1;2505;-1;46;872.1;8455;387;-1;0;-1;4931;-1;436;-1;1091;-1;233;-1;51;-1;0;-1;44;655.8;-1;77.9;-1
Valongo;41869;1861;0;0;0;0;0;697;0;2308;0;0;0;0;11667;0;0;0;0;0;0;0;0;0;0;0;0;25336;0;0;0;x;95300;14392;-1;65352;-1;15557;-1;5562;-1;12981;-1;218;761.1;23896;384;-1;80;-1;4884;-1;4126;-1;5176;-1;2238;-1;171;-1;0;-1;215;7048.3;-1;842.7;-1
Vila do Conde;42969;807;0;0;0;0;21192;0;0;975;0;0;0;0;5781;0;0;0;0;0;0;0;0;0;0;0;0;14214;0;0;0;x;79363;11755;-1;53805;-1;13803;-1;5488;-1;9091;-1;281;831.8;26111;0;-1;0;-1;7896;-1;2555;-1;5766;-1;919;-1;125;-1;19;-1;219;3744.1;-1;495.3;-1
Vila Nova de Gaia;131456;7142;0;0;0;0;0;0;3546;6226;702;0;0;0;28019;0;0;0;0;0;0;0;0;0;0;0;0;85118;0;0;327;x;300587;42470;-1;204332;-1;53785;-1;18851;-1;41476;-1;946;874.4;77413;1015;-1;23;-1;20431;-1;5525;-1;15988;-1;6556;-1;487;-1;29;-1;902;25545.7;-1;2879.8;-1
